value:0.00,value:0.01,value:0.15
value:1.40,value:-0.12,value:0.14
value:1.40,value:0.18,value:0.10
value:1.40,value:1.84,value:0.60
value:1.40,value:4.06,value:5.26
value:1.40,value:9.84,value:5.69
value:1.40,value:13.46,value:7.16
value:1.40,value:21.15,value:9.03
value:1.40,value:24.35,value:11.15
value:1.40,value:31.50,value:12.84
value:1.40,value:34.72,value:14.51
value:1.40,value:41.30,value:16.92
value:1.40,value:44.11,value:19.72
value:1.40,value:49.93,value:22.24
value:1.40,value:52.47,value:24.65
value:1.40,value:57.66,value:26.99
value:1.40,value:59.94,value:29.55
value:1.40,value:64.58,value:31.96
value:1.40,value:66.65,value:34.37
value:1.40,value:70.80,value:36.60
value:1.40,value:72.94,value:38.87
value:1.40,value:76.68,value:41.06
value:1.40,value:78.76,value:43.24
value:1.40,value:82.33,value:45.38
value:1.40,value:84.30,value:47.53
value:1.40,value:87.61,value:49.65
value:1.40,value:89.49,value:51.77
value:1.40,value:92.54,value:53.89
value:1.40,value:94.36,value:55.99
value:1.40,value:97.20,value:58.08
value:1.40,value:98.96,value:60.14
value:1.40,value:101.61,value:62.18
value:1.40,value:103.32,value:64.19
value:1.40,value:105.81,value:66.18
value:1.40,value:107.48,value:68.15
value:1.40,value:109.83,value:70.09
value:1.40,value:111.46,value:72.00
value:1.40,value:113.60,value:73.89
value:1.40,value:115.20,value:75.74
value:1.40,value:117.04,value:77.56
value:1.40,value:118.64,value:79.32
value:1.40,value:120.14,value:81.07
value:1.40,value:121.78,value:82.75
value:1.40,value:122.91,value:84.41
value:1.40,value:124.60,value:86.00
value:1.40,value:125.38,value:87.56
value:1.40,value:127.11,value:89.06
value:1.40,value:127.61,value:90.53
value:1.40,value:129.38,value:91.93
value:1.40,value:129.63,value:93.31
value:1.40,value:131.44,value:94.62
value:1.40,value:131.44,value:95.91
value:1.40,value:133.29,value:97.13
value:1.40,value:133.04,value:98.32
value:1.40,value:134.92,value:99.45
value:1.40,value:134.46,value:100.54
value:1.40,value:136.36,value:101.58
value:1.40,value:135.70,value:102.59
value:1.40,value:137.62,value:103.55
value:1.40,value:136.81,value:104.47
value:1.40,value:138.72,value:105.35
value:1.40,value:137.80,value:106.19
value:1.40,value:139.68,value:107.00
value:1.40,value:138.69,value:107.77
value:1.40,value:140.51,value:108.51
value:1.40,value:139.50,value:109.20
value:1.40,value:141.20,value:109.88
value:1.40,value:140.24,value:110.51
value:1.40,value:141.77,value:111.13
value:1.40,value:140.94,value:111.70
value:1.40,value:142.22,value:112.27
value:1.40,value:141.61,value:112.78
value:1.40,value:142.55,value:113.30
value:1.40,value:142.20,value:113.75
value:1.40,value:142.78,value:114.23
value:1.40,value:142.65,value:114.63
value:1.40,value:142.93,value:115.05
value:1.40,value:143.01,value:115.40
value:1.40,value:143.07,value:115.80
value:1.40,value:143.33,value:116.14
value:1.40,value:143.22,value:116.50
value:1.40,value:143.62,value:116.82
value:1.40,value:143.37,value:117.15
value:1.40,value:143.91,value:117.46
value:1.40,value:143.53,value:117.76
value:1.40,value:144.19,value:118.05
value:1.40,value:143.69,value:118.33
value:1.40,value:144.45,value:118.61
value:1.40,value:143.84,value:118.87
value:1.40,value:144.69,value:119.12
value:1.40,value:143.98,value:119.37
value:1.40,value:144.91,value:119.60
value:1.40,value:144.11,value:119.83
value:1.40,value:145.11,value:120.05
value:1.40,value:144.22,value:120.26
value:1.40,value:145.29,value:120.46
value:1.40,value:144.33,value:120.65
value:1.40,value:145.44,value:120.84
value:1.40,value:144.44,value:121.02
value:1.40,value:145.56,value:121.20
value:1.40,value:144.55,value:121.35
value:1.40,value:145.65,value:121.52
value:1.40,value:144.66,value:121.66
value:1.40,value:145.71,value:121.82
value:1.40,value:144.79,value:121.95
value:1.40,value:145.73,value:122.10
value:1.40,value:144.94,value:122.21
value:1.40,value:145.71,value:122.35
value:1.40,value:145.11,value:122.45
value:1.40,value:145.64,value:122.58
value:1.40,value:145.28,value:122.67
value:1.40,value:145.53,value:122.79
value:1.40,value:145.38,value:122.86
value:1.40,value:145.39,value:122.96
value:1.40,value:145.43,value:123.03
value:1.40,value:145.26,value:123.11
value:1.40,value:145.47,value:123.17
value:1.40,value:145.17,value:123.25
value:1.40,value:145.52,value:123.30
value:1.40,value:145.11,value:123.37
value:1.40,value:145.59,value:123.42
value:1.40,value:145.07,value:123.48
value:1.40,value:145.67,value:123.53
value:1.40,value:145.06,value:123.58
value:1.40,value:145.76,value:123.63
value:1.40,value:145.05,value:123.68
value:1.40,value:145.84,value:123.72
value:1.40,value:145.05,value:123.77
value:1.40,value:145.92,value:123.81
value:1.40,value:145.05,value:123.85
value:1.40,value:146.00,value:123.90
value:1.40,value:145.06,value:123.93
value:1.40,value:146.07,value:123.98
value:1.40,value:145.08,value:124.01
value:1.40,value:146.12,value:124.05
value:1.40,value:145.10,value:124.08
value:1.40,value:146.15,value:124.12
value:1.40,value:145.14,value:124.15
value:1.40,value:146.16,value:124.19
value:1.40,value:145.19,value:124.21
value:1.40,value:146.14,value:124.25
value:1.40,value:145.27,value:124.26
value:1.40,value:146.10,value:124.31
value:1.40,value:145.37,value:124.31
value:1.40,value:146.01,value:124.36
value:1.40,value:145.51,value:124.36
value:1.40,value:145.89,value:124.41
value:1.40,value:145.61,value:124.41
value:1.40,value:145.73,value:124.44
value:1.40,value:145.66,value:124.44
value:1.40,value:145.57,value:124.46
value:1.40,value:145.67,value:124.46
value:1.40,value:145.43,value:124.47
value:1.40,value:145.69,value:124.47
value:1.40,value:145.32,value:124.48
value:1.40,value:145.73,value:124.47
value:1.40,value:145.25,value:124.48
value:1.40,value:145.78,value:124.48
value:1.40,value:145.21,value:124.49
value:1.40,value:145.84,value:124.49
value:1.40,value:145.18,value:124.50
value:1.40,value:145.91,value:124.51
